Job Openings and Labor Turnover Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,JTU000000000000000JOL,,,,,,,,,,,
Not seasonally adjusted,,,,,,,,,,,,
Industry:,Total nonfarm,,,,,,,,,,,
State/Region:,Total US,,,,,,,,,,,
Area:,All areas,,,,,,,,,,,
Data Element:,Job openings,,,,,,,,,,,
Size Class:,All size classes,,,,,,,,,,,
Rate/Level:,Level - In Thousands,,,,,,,,,,,
Years:,2001 to 2023,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5592,4844,4514,5095,4544,4319,4896,4105,3941,4002,3372,3020
2002,3983,3222,3403,3935,3544,3355,3770,3593,3215,3767,3126,2584
2003,3661,3026,2913,3570,3355,3328,3366,3264,3030,3568,2970,2840
2004,3598,3330,3353,3992,3766,3268,4191,3630,3784,4171,3119,3485
2005,3929,3749,3902,4695,3844,3974,4630,4245,4339,4392,3889,3737
2006,4488,4103,4606,5324,4504,4536,4735,4840,4749,4795,4298,4058
2007,4827,4455,4843,5205,4701,4773,4907,4688,4666,4830,4317,4033
2008,4682,4074,4137,4457,4253,3757,4013,3808,3242,3578,2959,2700
2009,2792,2688,2482,2592,2586,2435,2412,2453,2494,2643,2258,2157
2010,2877,2518,2653,3460,3043,2727,3264,3110,2937,3515,2956,2616
2011,3098,3086,3236,3580,3226,3374,3807,3445,3794,3945,3291,3274
2012,3864,3476,3953,4196,3890,3804,3932,3937,3912,4128,3575,3404
2013,3839,3843,4051,4421,4197,4055,4097,4214,4175,4606,3768,3520
2014,4026,4216,4329,5070,4805,4882,5117,5484,4976,5412,4463,4467
2015,5244,5268,5159,6172,5612,5142,6391,5623,5577,6206,5272,5134
2016,5894,5549,6058,6362,5773,5624,6407,5854,5962,5972,5536,5287
2017,5529,5670,5742,6647,5839,6219,6658,6467,6439,6683,5832,5683
2018,6568,6269,6744,7410,7015,7195,7609,7436,7504,7665,7086,6744
2019,7442,6756,7257,7772,7284,7181,7433,7410,7231,7652,6428,6034
2020,7101,6652,5731,5166,5403,5991,7229,6589,6630,7346,6355,6140
2021,7171,7413,8339,9869,9662,10099,11947,11034,10966,12049,10531,10739
2022,11344,11220,11968,12492,11147,10874,12572,10217,10806,11159,10058,10315
2023,10502,9471,9477,10607,9093,8865,9615,9400,9303,9156,8395,8344
